"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2021","709.55","743.94","743.94","707.13","800.36K","-4.93%"
"07/11/2021","746.36","765.74","774.94","746.36","835.87K","-1.72%"
"07/04/2021","759.44","781.72","794.31","748.79","850.16K","-3.57%"
"06/27/2021","787.53","780.27","791.41","771.55","966.29K","0.37%"
"06/20/2021","784.63","773.97","793.35","765.25","454.70K","1.25%"
"06/13/2021","774.94","792.38","798.67","766.22","1.28M","-2.20%"
"06/06/2021","792.38","780.75","813.20","768.16","941.37K","1.49%"
"05/30/2021","780.75","756.54","785.11","745.88","1.12M","3.47%"
"05/23/2021","754.60","681.95","774.94","678.07","2.18M","11.29%"
"05/16/2021","678.07","697.45","706.16","674.68","1.41M","-3.45%"
"05/09/2021","702.29","702.29","718.76","668.87","996.41K","0.55%"
"05/02/2021","698.41","721.66","733.29","696.48","961.57K","-2.70%"
"04/25/2021","717.79","729.90","746.85","717.79","863.09K","-1.79%"
"04/18/2021","730.87","735.22","735.22","716.34","867.88K","-0.46%"
"04/11/2021","734.26","736.19","748.79","720.70","841.30K","-0.26%"
"04/04/2021","736.19","716.82","765.25","712.46","569.31K","2.70%"
"03/28/2021","716.82","716.82","740.55","702.29","505.09K","-0.27%"
"03/21/2021","718.76","707.13","735.71","695.51","983.12K","0.34%"
"03/14/2021","716.34","745.88","749.27","710.04","1.23M","-4.58%"
"03/07/2021","750.72","750.72","756.54","726.51","1.06M","0.65%"
"02/28/2021","745.88","726.99","760.90","726.99","1.23M","2.94%"
"02/21/2021","724.57","759.44","759.44","714.88","1.92M","-6.15%"
"02/14/2021","772.03","776.88","777.85","746.36","1.17M","-0.62%"
"02/07/2021","776.88","765.74","792.38","762.35","885.58K","0.25%"
"01/31/2021","774.94","751.69","774.94","737.65","1.12M","3.90%"
"01/24/2021","745.88","768.16","779.78","732.32","1.55M","-4.88%"
"01/17/2021","784.14","793.83","802.55","748.79","1.36M","-1.28%"
"01/10/2021","794.31","808.84","822.41","782.69","1.14M","-1.74%"
"01/03/2021","808.36","801.09","811.75","745.88","946.80K","0.91%"
"12/27/2020","801.09","803.03","810.78","787.53","475.81K","-0.72%"
"12/20/2020","806.91","813.69","813.69","795.28","431.73K","0.85%"
"12/13/2020","800.13","813.69","822.41","800.13","1.97M","-2.25%"
"12/06/2020","818.53","836.94","839.36","794.31","1.49M","-2.26%"
"11/29/2020","837.42","789.47","837.42","780.75","1.73M","4.98%"
"11/22/2020","797.71","828.22","829.67","786.57","2.26M","-3.68%"
"11/15/2020","828.22","817.56","838.39","797.71","2.18M","1.30%"
"11/08/2020","817.56","778.82","842.75","760.41","2.09M","4.84%"
"11/01/2020","779.78","722.63","786.57","722.63","1.37M","5.50%"
