"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2020","6,315.07","6,340.32","6,375.03","6,163.82","1.11M","-2.49%"
"06/07/2020","6,476.24","6,487.76","6,583.84","6,263.20","949.53K","0.17%"
"05/31/2020","6,465.13","5,791.32","6,517.49","5,750.00","1.19M","10.73%"
"05/24/2020","5,838.84","5,526.99","5,838.84","5,396.13","908.17K","5.41%"
"05/17/2020","5,539.19","5,557.99","5,613.90","5,466.88","486.50K","-0.05%"
"05/10/2020","5,541.95","5,641.53","5,681.68","5,541.95","599.10K","-1.42%"
"05/03/2020","5,621.94","5,601.39","5,703.96","5,502.05","1.02M","-1.38%"
"04/26/2020","5,700.71","5,493.21","5,716.88","5,390.97","502.01K","4.31%"
"04/19/2020","5,464.98","5,813.93","5,816.90","5,461.94","592.25K","-5.61%"
"04/12/2020","5,789.97","5,551.96","5,946.05","5,521.49","1.10M","5.07%"
"04/05/2020","5,510.83","5,380.51","5,713.63","5,345.94","638.32K","3.06%"
"03/29/2020","5,346.97","5,234.99","5,408.52","4,984.79","985.29K","1.53%"
"03/22/2020","5,266.62","4,527.29","5,641.94","4,509.22","1.45M","10.21%"
"03/15/2020","4,778.76","5,506.96","5,533.17","4,039.15","1.02M","-17.52%"
"03/08/2020","5,793.94","6,575.54","6,575.54","5,097.90","1.27M","-14.42%"
"03/01/2020","6,770.38","6,759.37","6,941.20","6,700.75","899.29K","-0.26%"
"02/23/2020","6,787.91","7,267.86","7,270.47","6,769.97","810.01K","-7.90%"
"02/16/2020","7,369.78","7,305.66","7,472.99","7,292.95","581.96K","1.21%"
"02/09/2020","7,282.00","7,510.84","7,510.84","7,282.00","628.50K","-3.00%"
"02/02/2020","7,507.20","7,206.22","7,507.20","7,129.19","637.21K","4.26%"
"01/26/2020","7,200.79","7,616.90","7,624.37","7,200.79","677.36K","-5.54%"
"01/19/2020","7,623.41","7,727.45","7,727.45","7,425.86","667.74K","-1.28%"
"01/12/2020","7,722.58","7,794.90","7,794.90","7,614.73","653.02K","-0.70%"
"01/05/2020","7,776.77","7,802.86","7,840.70","7,697.89","710.95K","-0.80%"
